postcode_district,region,practice_count,total_eligible,total_vaccinated,coverage
TW11,NHS South West London ICB,2,147,44,29.9
SW13,NHS South West London ICB,2,211,79,37.4
WC2H,NHS North West London ICB,1,13,6,46.2
M15,NHS Greater Manchester ICB,2,218,122,56.0
N16,Multiple regions,11,1710,978,57.2
B7,NHS Birmingham and Solihull ICB,3,197,116,58.9
W1D,NHS North West London ICB,2,20,12,60.0
B17,NHS Birmingham and Solihull ICB,4,576,350,60.8
LS2,NHS West Yorkshire ICB,1,13,8,61.5
E5,NHS North East London ICB,6,510,315,61.8
BS2,"NHS Bristol, North Somerset and South Gloucestershire ICB",1,87,54,62.1
W12,NHS North West London ICB,11,534,332,62.2
W14,NHS North West London ICB,4,206,131,63.6
W10,NHS North West London ICB,11,430,278,64.7
NG1,NHS Nottingham and Nottinghamshire ICB,2,120,78,65.0
BD9,NHS West Yorkshire ICB,2,256,168,65.6
L27,NHS Cheshire and Merseyside ICB,1,31,21,67.7
N9,NHS North Central London ICB,9,1593,1091,68.5
L7,NHS Cheshire and Merseyside ICB,6,483,334,69.2
W9,NHS North West London ICB,5,253,175,69.2
M7,NHS Greater Manchester ICB,5,711,498,70.0
L1,NHS Cheshire and Merseyside ICB,1,54,38,70.4
L28,NHS Cheshire and Merseyside ICB,1,89,63,70.8
EC1R,NHS North Central London ICB,2,107,76,71.0
SW9,NHS South East London ICB,8,451,320,71.0
EC1V,NHS North Central London ICB,1,70,50,71.4
N18,NHS North Central London ICB,4,316,226,71.5
SW1V,NHS North West London ICB,2,179,128,71.5
W11,NHS North West London ICB,6,351,251,71.5
L30,NHS Cheshire and Merseyside ICB,1,88,63,71.6
L3,NHS Cheshire and Merseyside ICB,1,39,28,71.8
W1K,NHS North West London ICB,1,25,18,72.0
HA9,NHS North West London ICB,10,914,664,72.6
B1,NHS Birmingham and Solihull ICB,1,99,72,72.7
N15,NHS North Central London ICB,7,711,518,72.9
HA3,NHS North West London ICB,10,846,618,73.0
L5,NHS Cheshire and Merseyside ICB,3,196,143,73.0
N17,NHS North Central London ICB,7,525,383,73.0
M8,NHS Greater Manchester ICB,5,676,494,73.1
BD1,NHS West Yorkshire ICB,2,204,150,73.5
LS8,NHS West Yorkshire ICB,6,598,440,73.6
LS9,NHS West Yorkshire ICB,7,801,590,73.7
